SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
1209,Halsted,NB,59th,55th,0.5,S,,-87.64478,41.787025,-87.64497,41.794301,27,40:21.0
452,79th,WB,Ashland,Damen,0.49,W,,-87.66346869,41.75056524,-87.67308244,41.75041755,22,40:08.0
967,Pershing,EB,Damen,Ashland,0.5,W,,-87.67507424,41.82304972,-87.66551,41.82307531,-1,40:25.0
1133,Cicero,SB,Cermak,31st,1.000915218,S,Outside City Limits,-87.74443372,41.85124519,-87.74393181,41.8367474,30,40:29.0
403,Western,SB,Irving Park,Addison,0.5,N,,-87.68865004,41.95401377,-87.68844151,41.94673184,21,40:09.0
857,Higgins,NW,Nagle,Oak Park,0.47,W,,-87.78785667,41.97639544,-87.79645775,41.97900582,29,40:24.0
935,Milwaukee,SE,North Ave,Division,0.75,N,,-87.67768298,41.91047763,-87.66664594,41.90334299,-1,40:24.0
698,Dr Martin L King Jr,NB,35th,31st,0.51,S,,-87.61697025,41.83110078,-87.61710312,41.83842121,21,40:17.0
1104,Cermak,WB,Cicero,Central,1,W,Outside City Limits,-87.74426639,41.85148034,-87.763913,41.851385,16,40:26.0
776,Peterson,EB,Kostner,Pulaski,0.5,W,,-87.73838654,41.98987342,-87.72865669,41.99003117,30,40:22.0
259,87th,EB,Halsted,Dan Ryan Expy,0.98,W,,-87.64362851,41.73614086,-87.62544545,41.73613367,24,40:14.0
12,Archer,WB,Oak Park,Harlem,0.5,W,IDOT Signal Possible,-87.79157479,41.79229339,-87.80154814,41.79208407,-1,40:04.0
160,Ashland,SB,Belmont,Diversey,0.5,N,,-87.66884544,41.93969756,-87.66857775,41.93240461,18,40:02.0
639,Cicero,SB,43rd,47th,0.5,S,,-87.74351844,41.81493191,-87.74332578,41.80762849,-1,40:16.0
853,Higgins,SE,Austin,Central,0.58,W,,-87.77823739,41.97305388,-87.76756335,41.97019653,-1,40:23.0
854,Higgins,SE,Central,Milwaukee,0.33,W,,-87.76756335,41.97019653,-87.76147923,41.96857741,25,40:24.0
110,Ashland,NB,43rd,Pershing,0.5,S,,-87.66496478,41.81586973,-87.66512483,41.82315086,27,40:06.0
322,North,EB,Narragansett,Austin,0.48,W,IDOT Signals Possible,-87.7849651,41.90897446,-87.7756167,41.90912543,32,40:14.0
757,Grand,WB,State,LaSalle,0.43,E,Oneway,-87.62806696,41.8917151,-87.63258787,41.8916126,20,40:21.0
694,Dr Martin L King Jr,NB,51st,47th,0.5,S,,-87.61597487,41.80210962,-87.61639431,41.80938488,-1,40:17.0
1199,Halsted,NB,99th,95th,0.5,S,,-87.642814,41.714215,-87.643022,41.721458,-1,40:17.0
687,Dr Martin L King Jr,NB,79th,75th,0.5,S,,-87.61481092,41.75111901,-87.61489623,41.75840293,24,40:16.0
1247,Halsted,SB,47th,51st,0.5,S,,-87.645729,41.808864,-87.645536,41.801585,-1,40:28.0
844,Harlem,SB,Bryn Mawr,Foster,0.5,N,,-87.80712318,41.98277846,-87.80720208,41.97546814,14,40:23.0
138,Ashland,SB,67th,71st,0.5,S,,-87.66420442,41.77219308,-87.66397925,41.7649101,30,40:01.0
472,95th,WB,Stony Island,Woodlawn,0.49,E,,-87.58510584,41.72247931,-87.5947314,41.72227695,33,40:18.0
125,Ashland,NB,Diversey,Belmont,0.5,N,,-87.66821027,41.93240248,-87.66847791,41.93969544,18,40:06.0
888,Lake Shore Dr,NW,51st,47th,0.68,S,,-87.58139175,41.80273811,-87.58891901,41.81079172,55,40:24.0
258,87th,EB,Racine,Halsted,0.5,W,,-87.6533416,41.73579816,-87.64362851,41.73614086,-1,40:14.0
409,79th,EB,Halsted,Vincennes,0.5,W,,-87.64397311,41.75050083,-87.63419685,41.75060443,26,40:10.0
649,Cicero,SB,Diversey,Fullerton,0.5,N,,-87.74677565,41.93153343,-87.74645229,41.9242323,-1,40:16.0
947,Milwaukee,SE,Devon,Peterson,0.61,N,,-87.78807425,41.99735305,-87.78121846,41.9901964,-1,40:25.0
942,Milwaukee,SE,Montrose,Irving Park,0.62,N,,-87.75467303,41.9606343,-87.74747112,41.95341961,20,40:25.0
370,Western,SB,99th,103rd,0.5,S,,-87.68202648,41.71367482,-87.68180346,41.70637736,-1,40:08.0
81,Pulaski,SB,Van Buren,Roosevelt,0.62,S,,-87.7257294,41.87527927,-87.72542116,41.86617504,22,40:06.0
